Weekly Los Angeles Regular All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMR_PTE_Y05LA_DPG&f=W
17:35:05 GMT-0700 (Pacific Daylight Time)
Data source: U.S. Energy Information Administration
Week of,Weekly Los Angeles Regular All Formulations Retail Gasoline Prices Dollars per Gallon
10/21/2024,4.301
10/14/2024,4.322
10/7/2024,4.258
09/30/2024,4.238
09/23/2024,4.294
09/16/2024,4.322
09/9/2024,4.297
09/2/2024,4.281
08/26/2024,4.219
08/19/2024,4.215
08/12/2024,4.247
08/5/2024,4.279
07/29/2024,4.297
07/22/2024,4.359
07/15/2024,4.437
07/8/2024,4.487
07/1/2024,4.48
06/24/2024,4.48
06/17/2024,4.514
06/10/2024,4.569
06/3/2024,4.707
05/27/2024,4.784
05/20/2024,4.884
05/13/2024,4.941
05/6/2024,5.048
04/29/2024,5.109
04/22/2024,5.155
04/15/2024,5.153
04/8/2024,5.051
04/1/2024,4.858
03/25/2024,4.769
03/18/2024,4.739
03/11/2024,4.693
03/4/2024,4.676
02/26/2024,4.501
02/19/2024,4.54
02/12/2024,4.483
02/5/2024,4.403
01/29/2024,4.293
01/22/2024,4.243
01/15/2024,4.311
01/8/2024,4.443
01/1/2024,4.465
12/25/2023,4.363
12/18/2023,4.353
12/11/2023,4.427
12/4/2023,4.557
11/27/2023,4.67
11/20/2023,4.731
11/13/2023,4.82
11/6/2023,4.896
10/30/2023,5.007
10/23/2023,5.177
10/16/2023,5.396
10/9/2023,5.671
10/2/2023,5.982
09/25/2023,5.837
09/18/2023,5.662
09/11/2023,5.263
09/4/2023,5.163
08/28/2023,5.138
08/21/2023,5.136
08/14/2023,5.008
08/7/2023,4.941
07/31/2023,4.855
07/24/2023,4.719
07/17/2023,4.742
07/10/2023,4.698
07/3/2023,4.662
06/26/2023,4.666
06/19/2023,4.691
06/12/2023,4.726
06/5/2023,4.682
05/29/2023,4.663
05/22/2023,4.611
05/15/2023,4.607
05/8/2023,4.626
05/1/2023,4.67
04/24/2023,4.691
04/17/2023,4.705
04/10/2023,4.669
04/3/2023,4.612
03/27/2023,4.633
03/20/2023,4.658
03/13/2023,4.753
03/6/2023,4.73
02/27/2023,4.609
02/20/2023,4.553
02/13/2023,4.438
02/6/2023,4.373
01/30/2023,4.317
01/23/2023,4.301
01/16/2023,4.244
01/9/2023,4.224
01/2/2023,4.239
12/26/2022,4.149
12/19/2022,4.153
12/12/2022,4.312
12/5/2022,4.544
11/28/2022,4.785
11/21/2022,4.993
11/14/2022,5.165
11/7/2022,5.183
10/31/2022,5.241
10/24/2022,5.411
10/17/2022,5.783
10/10/2022,6.125
10/3/2022,6.194
09/26/2022,5.585
09/19/2022,5.168
09/12/2022,5.107
09/5/2022,5.003
08/29/2022,4.972
08/22/2022,5.061
08/15/2022,5.159
08/8/2022,5.244
08/1/2022,5.426
07/25/2022,5.52
07/18/2022,5.677
07/11/2022,5.873
07/4/2022,6.028
06/27/2022,6.102
06/20/2022,6.167
06/13/2022,6.225
06/6/2022,6.134
05/30/2022,5.942
05/23/2022,5.857
05/16/2022,5.765
05/9/2022,5.634
05/2/2022,5.545
04/25/2022,5.525
04/18/2022,5.574
04/11/2022,5.641
04/4/2022,5.752
03/28/2022,5.831
03/21/2022,5.74
03/14/2022,5.603
03/7/2022,5.203
02/28/2022,4.671
02/21/2022,4.557
02/14/2022,4.531
02/7/2022,4.499
01/31/2022,4.476
01/24/2022,4.46
01/17/2022,4.476
01/10/2022,4.478
01/3/2022,4.474
12/27/2021,4.456
12/20/2021,4.462
12/13/2021,4.477
12/6/2021,4.495
11/29/2021,4.52
11/22/2021,4.515
11/15/2021,4.492
11/8/2021,4.406
11/1/2021,4.385
10/25/2021,4.369
10/18/2021,4.308
10/11/2021,4.232
10/4/2021,4.206
09/27/2021,4.199
09/20/2021,4.184
09/13/2021,4.185
09/6/2021,4.185
08/30/2021,4.187
08/23/2021,4.19
08/16/2021,4.2
08/9/2021,4.189
08/2/2021,4.181
07/26/2021,4.166
07/19/2021,4.167
07/12/2021,4.151
07/5/2021,4.116
06/28/2021,4.093
06/21/2021,4.064
06/14/2021,4.068
06/7/2021,4.069
05/31/2021,4.043
05/24/2021,3.987
05/17/2021,3.966
05/10/2021,3.943
05/3/2021,3.902
04/26/2021,3.857
04/19/2021,3.825
04/12/2021,3.789
04/5/2021,3.782
03/29/2021,3.756
03/22/2021,3.765
03/15/2021,3.734
03/8/2021,3.655
03/1/2021,3.588
02/22/2021,3.482
02/15/2021,3.372
02/8/2021,3.338
02/1/2021,3.274
01/25/2021,3.226
01/18/2021,3.186
01/11/2021,3.107
01/4/2021,3.063
12/28/2020,3.046
12/21/2020,3.018
12/14/2020,2.992
12/7/2020,2.984
11/30/2020,2.969
11/23/2020,2.957
11/16/2020,2.97
11/9/2020,2.981
11/2/2020,2.986
10/26/2020,3.016
10/19/2020,3.019
10/12/2020,3.022
10/5/2020,3.027
09/28/2020,3.043
09/21/2020,3.053
09/14/2020,3.062
09/7/2020,3.067
08/31/2020,3.065
08/24/2020,3.058
08/17/2020,3.04
08/10/2020,3.028
08/3/2020,3.041
07/27/2020,3.033
07/20/2020,3.015
07/13/2020,3.007
07/6/2020,2.963
06/29/2020,2.958
06/22/2020,2.929
06/15/2020,2.873
06/8/2020,2.844
06/1/2020,2.779
05/25/2020,2.751
05/18/2020,2.689
05/11/2020,2.647
05/4/2020,2.633
04/27/2020,2.662
04/20/2020,2.703
04/13/2020,2.768
04/6/2020,2.89
03/30/2020,2.96
03/23/2020,3.084
03/16/2020,3.244
03/9/2020,3.334
03/2/2020,3.396
02/24/2020,3.406
02/17/2020,3.393
02/10/2020,3.386
02/3/2020,3.375
01/27/2020,3.393
01/20/2020,3.408
01/13/2020,3.424
01/6/2020,3.436
12/30/2019,3.454
12/23/2019,3.461
12/16/2019,3.515
12/9/2019,3.56
12/2/2019,3.659
11/25/2019,3.747
11/18/2019,3.832
11/11/2019,3.901
11/4/2019,3.935
10/28/2019,3.912
10/21/2019,3.998
10/14/2019,4.081
10/7/2019,4.098
09/30/2019,3.987
