year,month,transportation_type,day_count,total_ridership,total_miles
2017,1,all bus,31,"22,171,342","91,829,069"
2017,1,rail,31,"9,618,184","60,360,690"
2017,2,all bus,28,"21,604,148","88,971,760"
2017,2,rail,28,"8,724,128","54,558,747"
2017,3,all bus,31,"25,794,248","105,735,588"
2017,3,rail,31,"9,878,705","61,765,320"
2017,4,all bus,30,"23,611,510","97,413,240"
2017,4,rail,30,"9,048,825","56,581,776"
2017,5,all bus,31,"25,086,327","102,948,303"
2017,5,rail,31,"9,542,813","59,650,773"
2017,6,all bus,30,"23,716,670","98,511,426"
2017,6,rail,30,"9,540,438","59,673,331"
2017,7,all bus,31,"22,942,241","96,646,951"
2017,7,rail,31,"9,312,002","59,749,765"
2017,8,all bus,31,"24,861,705","103,145,826"
2017,8,rail,31,"9,869,414","63,192,363"
2017,9,all bus,30,"24,113,300","99,076,625"
2017,9,rail,30,"9,122,300","58,517,133"
2017,10,all bus,31,"25,331,595","103,709,738"
2017,10,rail,31,"9,634,347","61,718,470"
2017,11,all bus,30,"23,298,641","95,035,353"
2017,11,rail,30,"9,318,345","59,719,636"
2017,12,all bus,31,"22,176,563","90,962,299"
2017,12,rail,31,"9,173,574","58,949,959"
2018,1,all bus,31,"22,675,482","93,802,239"
2018,1,rail,31,"9,465,194","60,587,604"
2018,2,all bus,28,"21,958,972","89,930,528"
2018,2,rail,28,"8,458,032","54,017,263"
2018,3,all bus,31,"23,214,316","96,031,293"
2018,3,rail,31,"9,157,324","58,516,300"
2018,4,all bus,30,"23,331,877","96,162,423"
2018,4,rail,30,"8,715,000","55,722,442"
2018,5,all bus,31,"24,198,091","99,564,516"
2018,5,rail,31,"9,063,836","57,885,731"
2018,6,all bus,30,"22,691,252","94,721,753"
2018,6,rail,30,"8,850,125","56,540,566"
2018,7,all bus,31,"22,105,750","93,895,476"
2018,7,rail,31,"8,930,799","58,697,871"
2018,8,all bus,31,"24,128,752","100,644,109"
2018,8,rail,31,"9,281,648","60,888,241"
2018,9,all bus,30,"22,965,413","95,216,929"
2018,9,rail,30,"8,582,641","56,392,839"
2018,10,all bus,31,"25,080,291","103,469,372"
2018,10,rail,31,"9,458,742","62,068,188"
2018,11,all bus,30,"22,438,608","92,664,323"
